Smiles,MP
c1ccc(-c2cccc(-c3ccccc3-c3ccc(-c4ccc(-c5ccccc5-c5cccc(-c6ccccc6)c5)cc4)cc3)c2)cc1,185.1
c1ccc(-c2cccc(-c3ccc(-c4ccccc4-c4ccccc4-c4ccc(-c5cccc(-c6ccccc6)c5)cc4)cc3)c2)cc1,144.3
c1ccc(-c2ccccc2-c2ccc(-c3cccc(-c4cccc(-c5ccc(-c6ccccc6-c6ccccc6)cc5)c4)c3)cc2)cc1,213.4
c1ccc(-c2ccc(-c3ccc(-c4ccccc4-c4ccccc4-c4ccc(-c5ccc(-c6ccccc6)cc5)cc4)cc3)cc2)cc1,253.1
c1ccc(-c2cccc(-c3ccc(-c4cccc(-c5cccc(-c6ccc(-c7cccc(-c8ccccc8)c7)cc6)c5)c4)cc3)c2)cc1,285.3
c1ccc(-c2ccccc2-c2cccc(-c3cccc(-c4cccc(-c5cccc(-c6ccccc6-c6ccccc6)c5)c4)c3)c2)cc1,157.7
c1ccc(-c2ccccc2-c2ccccc2-c2ccc(-c3ccc(-c4ccccc4-c4ccccc4-c4ccccc4)cc3)cc2)cc1,235.1
c1ccc(-c2ccccc2-c2cc(-c3cc(-c4ccccc4-c4ccccc4)cc(-c4ccccc4-c4ccccc4)c3)cc(-c3ccccc3-c3ccccc3)c2)cc1,243.1
c1ccc(-c2ccccc2-c2ccc(-c3ccc(-c4ccc(-c5ccccc5-c5ccccc5)cc4)cc3)cc2)cc1,256.6
c1ccc(-c2ccccc2-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccccc6-c6ccccc6)cc5)cc4)cc3)cc2)cc1,309.0
c1ccc(-c2cccc(-c3cccc4cccc(-c5cccc(-c6ccccc6)c5)c34)c2)cc1,149.4
c1ccc(-c2ccccc2-c2cccc3cccc(-c4ccccc4-c4ccccc4)c23)cc1,148.0
c1ccc(-c2ccccc2-c2cccc3cccc(-c4cccc5cccc(-c6ccccc6-c6ccccc6)c45)c23)cc1,271.5
